KJERSTI H. BAEZ
PAUL HALPERN
JOHN DUCKWORTH
PETER BARSOCCHINI
JUDITH HERMANN
ELIZABETH SKURNICK
LAUREL ROBERTSON
IRIS JOHANSEN
BAY MATTHEWS
WALTER JON WILLIAMS
SALLEY VICKERS
G. K KASPAROV
PAT SUMMITT
CURTIS CATE
RICHARD BERMAN
MICHAEL NOURI
CRYSTAL GREEN
NEIL DAWE
MALCOLM GLADWELL
ANN MARIE WINSTOM
BETTY EDWARDS
LARISSA LAI
CAY RADEMACHER
EDDA WERFEL
HARPER LEE
ELLIE KAY
MICHAEL F. ROIZEN  M.D.
ANDREA LINGENFELTER
ASIAN WOMEN UNITED OF CALIFORNIA
JOHN SEELYE
NINA OLLIGSCHLÄGER
YVONNE BAUDRY
HARRY STEIN
FRANK MOORHOUSE
LIZABETH P. GEBERT
NORMA J. BUMGARNER
MICHELLE MAGORIAN
ELIZABETH PEPLOW
UWE ANTON
PAUL AURANDT
HELGA KRÜGER
DANIEL G. AMEN
GREG BEAR
MONSTER KODY SCOTT
RHYS BOWEN
HAN SUYIN
MICHAEL BLAKE
MARY CRAIG
NANC
DINA LEONHARDT KOEHLY
WILKIE COLLINS
CHARLOTTE LINK
JONATHAN DEE
BRUCE PATTON
MARI AKINO
JOE MATHIEU
PAUL JOSEPH LEDERER
EVELYN MCFARLANE
FRIEDRICH ENGELS
MICHEL SYRETT
DYANNE GIBSON
STEVEN ALTER
RUTH L. OZEKI
KARL FULVES
PATTI SHOSTECK
ALAN SHERIDAN
HELEN BANES
DAVID WINGROVE
PHILIP HEIT
JAEL
SIOBHAN DODDS
JAN WOUDHUYSEN
ROBERTS
ROB BYRNES
VIRGINIA BLAIN
ROSEMARY LLOYD
TONY DUNBAR
LUCRETIA WALSH GRINDLE
JEANNE WILLIS
SATYA DAS
NANCY RICHLER
KARIN POLZ
MEGAN MCCAFFERTY
GRAHAM SALISBURY
ALAN M. CLARK
JOSEPHINE CARR
BRIGITTE AUBERT
PAUL WILKES
PAT CROCE
ZACHARY ALAN FOX
EARL W. EMERSON
JEFF COX
JON SCIESZKA
WENDY ETHERINGTON
DES MACHALE
KARLA /LANSDOWNE/SAVE HOCKER
PENNY DALE
CECILIA FITZSIMONS
M. NELSON CHUNDER
GEOFFREY MOSS
MARK GARLAND
BENJAMIN SPOCK
CHARLES WHEELAN
BRIGHT
COLLEEN DORA
THOMAS CHARLES SCHINKEL
BERYL BAINBRIDGE
DON ROBERTS
EVA-CHRISTIANE WETTERER
SHARON MITCHELL
CARROLL FERGUSON HUNT
JOHN CARMODY
JO ANN VEST
MILTON STEINBERG
DAVID HAMPSHIRE
PETER DOWNEY
ROBERT LEESON
DEBRA WEBB
TRACEY E. DILS
KURT VONNEGUT
KARA DALKEY
KATHRYN SHAY
SARAH BIRD
PATRICK HART
JONATHAN FRAKES
FRIENDS
SIDNEY D. KIRKPATRICK
PENELOPE SMITH
KEN ROSE
TOM MAGLIOZZI
J. BAXTER NEWGATE
ANNE ANCELIN SCHÜTZENBERGER
EVA MAASER
DORIS POZZI
MICHAEL SCOTT
L. WARREN DOUGLAS
MICHAEL HEATLEY
RALPH HELFER
JAMES GLEICK
PETER JAMES
DENNIS LEHANE
PAUL BOWLES
PAULE CONSTANT
BEVE
ANTOINE DE SAINT- EXUPÉRY
JIM SNIECHOWSKI
MARTIN
H.P. LOVECRAFT
JOSEPH D. PISTONE
F. JAMES DAVIS
JAMIE SAMS
KIM STANLEY ROBINSON
ARNOLD REINHOLD
CHRISTOPHER S. HYATT
RACHAEL RAY
J. I. M. STEWART
DARREN STAR
PETER KLINE
RICHARD PLATT
MCGOLDRICK ET AL.
EMMA THOMPSON
CHARLES PERKINS
FRIEDRICH SCHILLER
MILORAD PAVIC
JANET &AMP; RICHARDS
S R BADMIN
ANGELA SHELF MEDEARIS
ROBERT E. HANNEMANN
LARRY MCKEEVER
ARKADI STRUGATZKI
HELEN MACINNES
STARHAWK
ROSIE THOMAS
SCOTT WALKER
GLEN GRANT
LOUISE DOUGHTY
VIRGIL
MICHAEL STEARNS
DOROTHY GILMAN
PETER TRUDGILL
LEO; LEO BUSCAGLIA BUSCAGLIA
RICHARD PAUL EVANS
ERIC A. KNUDSEN
FEDERICO GARCIA LORCA
RANDY HALL
ALLAN TOPOL
GWENDOLYN MITCHELL DIAZ
ANGELIKA GUNDLACH
DAN ZEVIN
DANIEL LENIHAN
ROBERTO CALASSO
JIM TRELEASE
MIRIAM GURKO
DAVID HEFLICK
JACK HANDEY
WILLIAM C. WESTMORELAND
CHEROUKE RONKES AGE
RICHARD LALIBERTE
BARRON'S
VICKI LEON
PETER HAINING
SARA B. STEIN
WAYNE ALLRED
DIK BROWNE
BARBARA MERTZ
NICK HORNBY
JAMES S. OLSON
GERALDINE BROOKS
FAIRNESS AND ACCURACY IN REPORTING
GARY BRAVER
ADRIENNE DIXON
ANNA GAVALDA
BILL ROBISON
AOLA VANDERGRIFF
TIINA NUNNALLY
CYNTHIA HOLZAPFEL
BRENDA NOVAK
LARS-GUNNAR ANDERSSON
LESLIE ALLEN
ESTABAN MAROTO
PATRICIA JEFFERY
STEVEN RAICHLEN
AND LAMB
SEBASTIAN JUNGER
KAPLAN
SCOTT SPENCER
TERRI CRISP
ANDY BAGGOTT
DINA GRAY
ROBERT THURSTON
HOWARD ROUGHAN
ANN BELL
MARIAN WELLS
WINSTON GROOM
BERT ARCHER
R. MONTANARI
PETER URBAN-HALLE
S. NAGARAJAN
LINCOLN COLCORD
KAREN VAN DER ZEE
CARL G. JUNG
LOUIS L'AMOUR
STEPHEN BAXTER
BEN COHEN
ROBERT BOSNAK
BETTINA ABARBANELL
CONNIE LIGHTNER
HARUKI MURAKAMI
ROBERT BLANCHARD
GENE PRATER
JEAN BARRETT
GEORGE TOWNSHEND
CHRISTINE PADESKY
PATRICK FRALEY
JAMES W. BROWN
PAUL LUKAS
S.L. VIEHL
WILLIAM NOBLE
ABBOT GEORGE BURKE
INGO WALTER
RICHARD; ATWATER
CLIVE BARDA
HARRY WU
MAX FRISCH
MARION K. AN
RUMIKO TAKAHASHI
SILVANA KLEIN
SUZANNE FORSTER
STEPHEN C. LUNDIN
STACY MATTINGLY
IRVINE WELSH
KATHY HEPINSTALL
J. B. CALCHMAN
WEBB GARRISON
MICHAEL MACDONALD MOONEY
MICHAEL AZERRAD
CHARLOTTE VALE ALLEN
STEVEN PINKER
BERKE BREATHED
PETER TAYLOR
 EARL SPENCER
DONNA ERICKSON
JOHN BUCHAN
GEORGE BOWERING
KAREN MARIE MONING
PAUL ROBERT WALKER
KEN KELLY
A. L. HASKETT
DAVID BEVINGTON
LUIGI RICCI
ELSPETH CAMPBELL MURPHY
LECH WALESA
ANNELIES LASCHITZA
MIKE BERENSTAIN
PATTY MITCHELL
GLORIA ORENSTEIN
WILLIAM J. MANN
MATTHEW PEARL
ROSE BLOCK
ANNE TOLSTOI WALLACH
AMANDA ASHLEY
BERNHARD ROBBEN
AMBER K
GRAHAM C. BARRETT
DAMIEN SIMONIS
TANYA HUFF
ROBERT J. SAWYER
SIMON MAWER
STUART BRENT
MARC MAPPEN
JOSHUA PIVEN
DR. PHIL MCGRAW
URSULA KÖSTERS-ROTH
TERRY GOODKIND
MARI FLORENCE
DEBRA MONK
SCOTT WESTERFELD
DANIEL BUTLER
LORRAINE JOHNSON-COLEMAN
GEORGE BERNARD SHAW
ELISABETH ROBINSON
JOSEPH MARTOS
PETER GZOWSKI
EVAN KINGSBURY
JOSEPH MILECK
JAMES RIORDAN
DIANA CULBERTSON
JIDÉHEM
BETTY SMITH
WILLIAM CAMPBELL DOUGLASS
CHRISTOPHER BIGSBY
MEL LEVINE
CINDY ENGEL
MARGARET VISSER
STEPHEN LAWHEAD
DOUG PEEBLES
PETER NELSON
JANE HOPE
REBECCA WOOLIS
STEPHEN COONTS
FAWN M. BRODIE
ELEMENT BOOKS LTD.
MARIE B. SALAZAR
CARLY PHILLIPS
RICHARD FLANAGAN
JEANE RENICK
NAN MCCARTHY
STEARN ROBINSON
MICHAEL A. THOMAS
Z. BARNES
MARIAMA B
ELIZABETH PETERS
DAVID G. HARTWELL
ALAN WITSCHONKE
J. R. R. TOLKIEN
W. P. KINSELLA
CAROL GARDNER
DANIEL SELTZER
NK LAWN AND GARDEN
EDWARD HUMES
PATRICIA HARWIN
IRV DOCKTOR
BARBARA HOBERMAN LEVINE
RICHIE TANKERSLEY CUSICK
ZANDER HOLLANDER
YIN-LIEN C. CHIN
MIKE BURNS
FRANCESE MATEU
NEVILL COGHILL
CHARLES WILLIAMS
CHRISTOP
MARCUS GEISS AND HENNING STEGELMANN
VICTOR GISCHLER
ROBERT G. WALDRON
JOE SIMPSON
MODRIS EKSTEINS
JAMES C. COLLINS
FRED A.
RAYMOND JEAN
WALT DISNEY
DAVID WONG LOUIE
JAMES DUNCAN
SIR ARTHUR CONAN DOYLE
JOHN MILTON FOGG
SHEILA O'CONNOR
PAMELA TOTH
GOLDRICK
PIERS DUDGEON
RAYMOND STRAIT
KAREN HA
STEPHANIE CALMENSON
HELENE KARMASIN
ALICE MATTISON
ALLAN HALEY
LINDA PIAZZA
NICOLE BURNHAM
FREDERICK FEIKEMA MANFRED
ROBERT E. KOWALSKI
PHILIP GOLDBERG
LYNSAY SANDS
ROBIN BURCELL
ALEXEI SAYLE
DONALD D. WALSH
PHILIP HARNDEN
KAZUO ISHIGURO
ELIZABETH GAGE
CATHLEEN MEDWICK
AUGUSTINE
ALAIN COUPRIE
RUTH NANDA ASHEN
HAROLD BLOOMFIELD M.D.
LEIGH
JACK CLIFFORD SMITH
BETTIE B. YOUNGS
JOHN BAYLEY
PEGGY NICHOLSON
SA SHAN
PHILIP EVANS
TERRY KAY
JAN ROGOZINSKI
ANA SEYMOUR
STEPHEN GALLAGHER
M. OLIVER
SALLY MANDEL
WESLEY DENNIS
ALEEN MALCOLM
STACY CRETZMEYER
IRVING
DAVID GALLOWAY
NANCY BIRNES
GEORGE WOODCOCK
FAYRENE PRESTON
GEORGE GIBIAN
STEVE GERLACH
KATHLEEN RAGAN
EDITH WHARTON
EILEEN YIN-FEI LO
ANNE RAEFF
GEMMA GROTT
OLIVER LATSCH
NEALE DONALD WALSCH
JOHN MCENROE
GILLIAN CHAPMAN
JON STEWART
P S RUSHFORTH
SALLY AND ROB RAINS
JÜRGEN BAUER
KATHRYN SULLIVAN
MARUJA TORRES
