ISBN10	AUTHOR
0195153448	MARK P. O. MORFORD
0195153448	ROBERT J. LENARDON
0002005018	RICHARD BRUCE WRIGHT
0060973129	CARLO D'ESTE
0374157065	GINA KOLATA
0393045218	ELIZABETH WAYLAND BARBER
0393045218	E. J. W. BARBER
0399135782	AMY TAN
0425176428	ROBERT COWLEY
0671870432	SCOTT TUROW
0671870432	STACY KEACH
0679425608	DAVID CORDINGLY
074322678X	ANN BEATTIE
0771074670	DAVID ADAMS RICHARDS
080652121X	KENSINGTON
0887841740	SHEILA HETI
1552041778	J. R. KAISER
1558746218	JACK CANFIELD
1558746218	MARK VICTOR HANSEN
1558746218	JENNIFER READ HAW
1567407781	LOREN D. ESTLEMAN
1567407781	JOHN KENNETH
1575663937	ROBERT HENDRICKSON
1881320189	JULIA OLIVER
0440234743	JOHN GRISHAM
0452264464	TONI MORRISON
0609804618	THE ONION
0609804618	SCOTT DIKKERS
0609804618	MIKE LOEW
1841721522	CELIA BROOKS BROWN
1841721522	JANE NORAIKA
1841721522	PHILIP WEBB
1879384493	J. R. PARRISH
0061076031	MARY-KATE &AMP; ASHLEY OLSEN
0439095026	ROBYNN CLAIRDAY
0689821166	KATHLEEN DUEY
0689821166	KAREN A. BALE
0689821166	BILL DODGE
0971880107	RICH SHAPERO
0345402871	MICHAEL CRICHTON
0345417623	MICHAEL CRICHTON
0684823802	C.S. LEWIS
0375759778	ARTHUR PHILLIPS
0425163091	STEPHEN JARAMILLO
3404921038	MORDECAI RICHLER
3404921038	MICHAEL PANOFSKY
3404921038	ANETTE GRUBE
3442353866	ELEANOR COONEY
3442353866	DANIEL ALTIERI
3442410665	CHARLOTTE LINK
3442446937	RICHARD NORTH PATTERSON
3442446937	KRISTIAN LUTZE
0375406328	MARK SALZMAN
0446310786	HARPER LEE
0449005615	LAURA HILLENBRAND
0060168013	BARBARA KINGSOLVER
038078243X	JO DERESKE
055321215X	JANE AUSTEN
067176537X	DOLORES KRIEGER
0061099686	ANNE RIVERS SIDDONS
0553582909	DEAN KOONTZ
0671888587	MARY HIGGINS CLARK
0553582747	DEAN KOONTZ
0425182908	PATRICIA CORNWELL
042518630X	J.D. ROBB
0440223571	MAEVE BINCHY
0812523873	LAURA J. MIXON
0842342702	TIM LAHAYE
0842342702	JERRY B. JENKINS
0440225701	JOHN GRISHAM
0060914068	BERNIE S. SIEGEL M.D.
0156047624	ROBERT PENN WARREN
0245542957	HANS JOHANNES HOEFER
0380715899	MARK HELPRIN
0553280333	O. CARL SIMONTON M.D.
0553280333	JAMES CREIGHTON PH.D.
0553280333	STEPHA
0961769947	CHUCK HILL
0964778319	DAVID IGLEHART
0671623249	LARRY MCMURTRY
0679810307	SUZANNE FISHER STAPLES
0679865691	SUZANNE FISHER STAPLES
2070423204	MICHEL TOURNIER
0345260317	CARL SAGAN
0394743741	ALEKSANDR ZINOVIEV
042511774X	ANNE TYLER
0804106304	AMY TAN
1853262404	JOSEPH CONRAD
0312970242	DEEPAK CHOPRA
0312970242	MARTIN GREENBERG
1853260053	THOMAS HARDY
1414035004	CHARLES NOLAND
1414035004	SHERRI BAKER
0060938412	VALERIE FRANKEL
0140067477	BENJAMIN HOFF
0345465083	LAURA HILLENBRAND
0451625889	NICCOLO MACHIAVELLI
1558531025	H. JACKSON BROWN JR.
0441783589	ROBERT A. HEINLEIN
0394895894	PHILIP PULLMAN
0375410538	MICHAEL ONDAATJE
0966986105	SANDRA LEVY CEREN
087113375X	P. J. O'ROURKE
0340767936	MIKE GAYLE
0743403843	STEL PAVLOU
0060930365	SARAH PAYNE STUART
0060177586	DAN QUAYLE
0071416331	DONALD F. KETTL
0071416331	DONALD KETTL
0375509038	DAVID FRUM
0553062042	LOUIS L'AMOUR
0316769487	J.D. SALINGER
0679429220	JOHN BERENDT
0671867156	MARY HIGGINS CLARK
0312252617	JENNIFER CRUSIE
0312261594	JANE HELLER
0316748641	MICHAEL RIPS
0316973742	SIMON MAWER
0385235941	WILLIAM ABRAHAMS
0446677450	ROBERT T. KIYOSAKI
0446677450	SHARON L. LECHTER
0451166892	KEN FOLLETT
0553347594	JOHN F. LOVE
0671621009	ROBERT G. ALLEN
067976397X	LOUIS DE BERNIERES
0684822733	PAM PROCTOR
0684822733	ALLEN M. SCHOEN
0786868716	MITCH ALBOM
0671864769	MICHAEL JAN FRIEDMAN
0671864769	RONALD D. MOORE
0671521519	GLENDON SWARTHOUT
0440222303	NEAL BARRETT JR.
0440222303	J. MICHAEL STRACZYNSKI
0312953453	DAVID MORRELL
0446608653	SANDRA BROWN
0446612545	JAMES PATTERSON
0446612545	PETER DE JONGE
0446612618	SANDRA BROWN
0451208080	STUART WOODS
0553584383	IRIS JOHANSEN
0671027360	DAN BROWN
0812575954	JOE HUTSKO
0316735736	ANITA SHREVE
0743439740	ANN RULE
0345372700	LEWIS GRIZZARD
0380619458	PAUL THEROUX
0446325805	LEWIS GRIZZARD
0451406923	CHARLES HICKEY
0451406923	TODD LIGHTY
0451406923	JOHN O'BRIEN
0671042858	STEPHEN KING
0743249992	BEN MEZRICH
0840734530	BILL HAND
0425184226	TOM CLANCY
0375500766	DANA REEVE
9724119378	ROY
0451205197	BARBARA METZGER
0060929790	GABRIEL GARCIA MARQUEZ
0060976845	REBECCA WELLS
0061099325	TONY HILLERMAN
0671004573	MARY HIGGINS CLARK
0446601640	ROBERT JAMES WALLER
0330484516	RACHEL HARRIS
038572179X	IAN MCEWAN
0393020371	MICHAEL LEWIS
1900850303	RICHARD ZIMLER
1903019699	NORMAN JETMUNDSEN
0345425294	LORENZO CARCATERRA
0451410319	ANNE FRASIER
0553583468	KAY HOOPER
0380778556	DAPHNE DU MAURIER
0451525221	NATHANIEL HAWTHORNE
0451525221	LEO MARX
0002740230	NICK PAGE
0385336772	LAURA WOLF
0440949424	LOIS DUNCAN
0505524996	SUSAN GRANT
0140252800	BARBARA VINE
0451452755	SHIRLEY ROUSSEAU MURPHY
0812575482	JANE LINDSKOLD
044651747X	ROBERT JAMES WALLER
0060801263	BETTY SMITH
0061030147	CYBILL SHEPHERD
0061030147	AIMEE LEE BALL
0140250964	STEWART O'NAN
0446527165	DAVID BALDACCI
0671461494	DOUGLAS ADAMS
0385337639	MARY LAWSON
039575514X	WILLA CATHER
0451206673	OLIVIA GOLDSMITH
0330332775	HELEN FIELDING
0486284735	JANE AUSTEN
0486284735	DOVER THRIFT EDITIONS
0671021745	FRANKLIN W. DIXON
